GameOver TIMESTEP: 19, STATE: observe, EPSILON: 0.4, ACTION: 4, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 19, Average Reward: 19.0, Standard Deviation Of Score: 0.0, Flaps: 20, Average Flaps: 20.0, Standard Deviation Of Flaps: 0.0
GameOver TIMESTEP: 20, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 10.0, Standard Deviation Of Score: 9.0, Flaps: 21, Average Flaps: 20.5, Standard Deviation Of Flaps: 0.5
GameOver TIMESTEP: 21, STATE: observe, EPSILON: 0.4, ACTION: 8, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 7.0, Standard Deviation Of Score: 8.48528137423857, Flaps: 22, Average Flaps: 21.0, Standard Deviation Of Flaps: 0.816496580927726
GameOver TIMESTEP: 22, STATE: observe, EPSILON: 0.4, ACTION: 5, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 5.5, Standard Deviation Of Score: 7.794228634059948, Flaps: 23, Average Flaps: 21.5, Standard Deviation Of Flaps: 1.118033988749895
GameOver TIMESTEP: 23, STATE: observe, EPSILON: 0.4, ACTION: 2, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 4.6, Standard Deviation Of Score: 7.200000000000001, Flaps: 24, Average Flaps: 22.0, Standard Deviation Of Flaps: 1.4142135623730951
GameOver TIMESTEP: 24, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 4.0, Standard Deviation Of Score: 6.708203932499369, Flaps: 25, Average Flaps: 22.5, Standard Deviation Of Flaps: 1.707825127659933
GameOver TIMESTEP: 30, STATE: observe, EPSILON: 0.4, ACTION: 6, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 6, Average Reward: 4.285714285714286, Standard Deviation Of Score: 6.249897958350673, Flaps: 31, Average Flaps: 23.714285714285715, Standard Deviation Of Flaps: 3.3685217493004562
GameOver TIMESTEP: 31, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 3.875, Standard Deviation Of Score: 5.946374946133148, Flaps: 32, Average Flaps: 24.75, Standard Deviation Of Flaps: 4.175823272122517
GameOver TIMESTEP: 32, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 3.5555555555555554, Standard Deviation Of Score: 5.678636595191394, Flaps: 33, Average Flaps: 25.666666666666668, Standard Deviation Of Flaps: 4.714045207910317
GameOver TIMESTEP: 33, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 3.3, Standard Deviation Of Score: 5.441507144165117, Flaps: 34, Average Flaps: 26.5, Standard Deviation Of Flaps: 5.123475382979799
GameOver TIMESTEP: 34, STATE: observe, EPSILON: 0.4, ACTION: 7, REWARD: 1, Q_MAX: 7.462855e-02, Episode Reward: 1, Average Reward: 3.090909090909091, Standard Deviation Of Score: 5.230236314051828, Flaps: 35, Average Flaps: 27.272727272727273, Standard Deviation Of Flaps: 5.462115958472656
